start_hour	site_id	gr	ad	browser	#sessions	#conversion	#transactions	revenues
2016-05-31 20	3	1	2	Chrome	8	0	0	0.00
2016-05-31 22	2	1	3	IE	5	0	0	0.00
2016-05-31 23	2	1	2	FireFox	1	0	0	0.00
2016-05-31 21	3	2	-1	Safari	2	0	0	0.00
2016-05-31 19	2	2	-1	IE	2	1	3	145.04
2016-05-31 19	4	1	3	IE	3	0	0	0.00
2016-05-31 20	4	1	1	NA	1	0	0	0.00
2016-05-31 22	4	1	2	Chrome	1	0	0	0.00
2016-05-31 18	3	2	-1	IE	12	0	0	0.00
2016-05-31 23	4	1	3	IE	3	0	0	0.00
2016-05-31 22	3	1	2	Chrome	7	0	0	0.00
2016-05-31 19	2	1	1	Chrome	9	0	0	0.00
2016-05-31 23	3	1	2	Safari	3	0	0	0.00
2016-05-31 19	3	1	1	IE	10	1	1	84.42
2016-05-31 22	4	2	-1	IE	2	1	6	263.78
2016-05-31 23	3	1	1	UNK	1	0	0	0.00
2016-05-31 23	2	1	2	Chrome	5	3	13	651.83
2016-05-31 19	3	1	3	Safari	2	0	0	0.00
2016-05-31 22	3	1	3	Chrome	11	1	4	201.99
2016-05-31 20	4	1	3	IE	3	0	0	0.00
2016-05-31 19	4	2	-1	Chrome	2	0	0	0.00
2016-05-31 19	3	1	1	Chrome	17	1	1	23.18
2016-05-31 21	2	1	1	Chrome	1	1	1	62.68
2016-05-31 23	2	1	1	Chrome	6	1	4	94.90
2016-05-31 19	3	1	2	Safari	1	0	0	0.00
2016-05-31 18	2	1	1	IE	9	0	0	0.00
2016-05-31 19	2	1	2	FireFox	2	0	0	0.00
2016-05-31 22	2	2	-1	Chrome	6	0	0	0.00
2016-05-31 18	3	1	2	Chrome	10	1	7	165.59
2016-05-31 18	4	1	2	Chrome	3	0	0	0.00
2016-05-31 22	3	1	1	Safari	1	0	0	0.00
2016-05-31 20	3	1	2	IE	6	0	0	0.00
2016-05-31 18	3	1	1	Chrome	9	0	0	0.00
2016-05-31 18	4	1	1	FireFox	1	0	0	0.00
2016-05-31 22	3	2	-1	Chrome	20	0	0	0.00
2016-05-31 20	3	1	1	IE	13	0	0	0.00
2016-05-31 23	3	2	-1	FireFox	1	0	0	0.00
2016-05-31 19	4	1	1	IE	3	0	0	0.00
2016-05-31 22	4	1	2	IE	2	0	0	0.00
2016-05-31 23	2	2	-1	IE	1	0	0	0.00
2016-05-31 18	3	1	3	FireFox	4	0	0	0.00
2016-05-31 18	3	1	2	IE	11	0	0	0.00
2016-05-31 20	3	1	3	Safari	2	1	3	90.86
2016-05-31 22	3	1	1	NA	1	0	0	0.00
2016-05-31 22	3	1	2	Safari	1	0	0	0.00
2016-05-31 23	3	1	3	Chrome	11	0	0	0.00
2016-05-31 19	2	1	2	IE	1	0	0	0.00
2016-05-31 19	2	1	3	IE	1	0	0	0.00
2016-05-31 21	2	1	3	FireFox	1	0	0	0.00
2016-05-31 22	3	1	3	Safari	1	0	0	0.00
2016-05-31 21	2	2	-1	Chrome	1	0	0	0.00
2016-05-31 18	3	1	2	FireFox	1	0	0	0.00
2016-05-31 23	3	1	1	IE	6	0	0	0.00
2016-05-31 19	4	1	1	Chrome	3	0	0	0.00
2016-05-31 20	2	2	-1	IE	1	1	3	124.74
2016-05-31 17	3	1	1	Chrome	1	0	0	0.00
2016-05-31 21	3	1	1	Chrome	11	1	4	246.96
2016-05-31 18	3	1	3	IE	5	0	0	0.00
2016-05-31 18	2	1	2	IE	7	1	13	845.61
2016-05-31 19	2	1	2	Chrome	3	0	0	0.00
2016-05-31 22	3	1	3	IE	5	0	0	0.00
2016-05-31 20	2	2	-1	Chrome	2	0	0	0.00
2016-05-31 21	3	1	3	Chrome	11	1	5	204.99
2016-05-31 20	3	2	-1	IE	12	0	0	0.00
2016-05-31 22	3	2	-1	IE	11	0	0	0.00
2016-05-31 23	4	1	2	Safari	1	0	0	0.00
2016-05-31 23	3	2	-1	IE	5	0	0	0.00
2016-05-31 21	3	2	-1	IE	10	0	0	0.00
2016-05-31 19	3	1	2	IE	12	0	0	0.00
2016-05-31 21	2	2	-1	IE	3	0	0	0.00
2016-05-31 22	2	1	1	Chrome	2	0	0	0.00
2016-05-31 23	4	1	1	Safari	1	0	0	0.00
2016-05-31 21	4	1	3	IE	1	0	0	0.00
2016-05-31 23	4	1	3	NA	1	0	0	0.00
2016-05-31 19	3	2	-1	IE	12	1	4	265.21
2016-05-31 20	2	1	3	Chrome	2	0	0	0.00
2016-05-31 22	3	1	1	IE	20	0	0	0.00
2016-05-31 18	3	2	-1	Chrome	9	0	0	0.00
2016-05-31 23	3	2	-1	Safari	1	1	13	610.15
2016-05-31 21	3	1	3	Safari	3	0	0	0.00
2016-05-31 22	4	1	3	Chrome	1	0	0	0.00
2016-05-31 21	2	2	-1	Safari	1	0	0	0.00
2016-05-31 23	4	1	1	Chrome	2	1	1	83.49
2016-05-31 20	3	1	2	FireFox	2	0	0	0.00
2016-05-31 20	2	1	2	IE	4	1	2	63.99
2016-05-31 18	2	1	1	Chrome	2	1	5	126.90
2016-05-31 20	4	2	-1	Chrome	1	0	0	0.00
2016-05-31 21	4	1	1	IE	1	0	0	0.00
2016-05-31 19	4	2	-1	IE	1	0	0	0.00
2016-05-31 18	4	1	1	Chrome	1	0	0	0.00
2016-05-31 19	2	1	3	Chrome	3	0	0	0.00
2016-05-31 22	2	1	2	Chrome	2	0	0	0.00
2016-05-31 23	2	1	3	IE	1	0	0	0.00
2016-05-31 23	3	1	1	Safari	2	0	0	0.00
2016-05-31 21	3	2	-1	NA	1	0	0	0.00
2016-05-31 19	2	1	1	IE	1	0	0	0.00
2016-05-31 22	3	1	2	FireFox	2	0	0	0.00
2016-05-31 23	3	1	1	NA	2	1	4	141.30
2016-05-31 23	3	2	-1	NA	2	0	0	0.00
2016-05-31 18	4	1	1	IE	2	0	0	0.00
2016-05-31 19	2	1	2	Safari	1	1	1	42.48
2016-05-31 23	3	1	2	FireFox	4	1	6	296.24
2016-05-31 18	3	1	3	Chrome	3	0	0	0.00
2016-05-31 23	3	2	-1	Chrome	11	0	0	0.00
2016-05-31 20	3	2	-1	Chrome	8	1	8	199.96
2016-05-31 21	2	1	3	UNK	1	0	0	0.00
2016-05-31 20	3	1	3	Chrome	7	0	0	0.00
2016-05-31 19	3	1	2	Chrome	8	1	6	346.16
2016-05-31 19	3	1	3	Chrome	11	0	0	0.00
2016-05-31 19	3	2	-1	Safari	1	0	0	0.00
2016-05-31 20	2	1	3	Safari	1	0	0	0.00
2016-05-31 18	4	1	3	IE	2	0	0	0.00
2016-05-31 21	4	1	1	FireFox	1	0	0	0.00
2016-05-31 22	3	1	1	Chrome	14	0	0	0.00
2016-05-31 22	2	1	1	IE	7	1	7	252.44
2016-05-31 21	2	1	2	Chrome	2	0	0	0.00
2016-05-31 22	2	2	-1	IE	6	1	9	652.70
2016-05-31 21	2	1	1	Safari	2	0	0	0.00
2016-05-31 19	4	1	2	IE	1	0	0	0.00
2016-05-31 20	3	2	-1	Safari	1	0	0	0.00
2016-05-31 23	3	1	2	NA	1	0	0	0.00
2016-05-31 23	3	1	2	IE	9	1	11	666.37
2016-05-31 22	2	1	1	Safari	1	0	0	0.00
2016-05-31 19	3	1	1	Safari	3	0	0	0.00
2016-05-31 22	4	1	1	Chrome	2	0	0	0.00
2016-05-31 23	2	1	1	FireFox	1	0	0	0.00
2016-05-31 22	4	2	-1	Chrome	1	0	0	0.00
2016-05-31 23	3	1	2	Chrome	10	1	10	495.04
2016-05-31 20	3	1	3	IE	8	0	0	0.00
2016-05-31 21	2	1	3	IE	3	0	0	0.00
2016-05-31 21	3	1	1	IE	13	1	11	722.82
2016-05-31 20	3	1	1	Chrome	13	0	0	0.00
2016-05-31 20	4	1	1	Chrome	2	0	0	0.00
2016-05-31 21	3	1	3	FireFox	2	0	0	0.00
2016-05-31 18	2	2	-1	FireFox	1	0	0	0.00
2016-05-31 20	3	1	1	UNK	1	0	0	0.00
2016-05-31 22	3	1	3	UNK	1	0	0	0.00
2016-05-31 21	2	1	3	Safari	1	0	0	0.00
2016-05-31 23	2	2	-1	FireFox	1	0	0	0.00
2016-05-31 22	3	1	2	IE	10	0	0	0.00
2016-05-31 22	4	1	3	IE	1	0	0	0.00
2016-05-31 21	2	2	-1	FireFox	2	0	0	0.00
2016-05-31 22	3	1	3	NA	2	0	0	0.00
2016-05-31 21	3	1	3	UNK	1	0	0	0.00
2016-05-31 18	2	1	2	Chrome	5	0	0	0.00
2016-05-31 20	2	1	1	IE	7	1	2	28.63
2016-05-31 17	4	2	-1	IE	1	0	0	0.00
2016-05-31 23	2	1	1	Safari	1	0	0	0.00
2016-05-31 23	3	1	3	Safari	2	0	0	0.00
2016-05-31 21	2	1	3	Chrome	2	0	0	0.00
2016-05-31 19	3	1	3	IE	4	0	0	0.00
2016-05-31 21	3	1	2	IE	8	0	0	0.00
2016-05-31 21	3	2	-1	FireFox	2	0	0	0.00
2016-05-31 21	3	1	2	Safari	2	0	0	0.00
2016-05-31 20	2	1	3	IE	1	0	0	0.00
2016-05-31 18	2	1	3	IE	3	0	0	0.00
2016-05-31 23	4	1	3	FireFox	1	0	0	0.00
2016-05-31 19	4	1	2	Chrome	3	0	0	0.00
2016-05-31 22	3	1	3	FireFox	2	0	0	0.00
2016-05-31 17	3	1	3	FireFox	1	0	0	0.00
2016-05-31 21	2	1	1	IE	2	0	0	0.00
2016-05-31 23	4	2	-1	FireFox	1	0	0	0.00
2016-05-31 18	4	2	-1	Chrome	1	0	0	0.00
2016-05-31 20	3	1	1	Safari	3	0	0	0.00
2016-05-31 22	2	1	2	IE	5	0	0	0.00
2016-05-31 18	2	1	3	Chrome	2	0	0	0.00
2016-05-31 21	2	1	2	IE	1	0	0	0.00
2016-05-31 23	2	1	1	IE	5	0	0	0.00
2016-05-31 21	3	2	-1	Chrome	12	1	5	340.47
2016-05-31 17	3	1	2	FireFox	1	0	0	0.00
2016-05-31 23	3	1	1	Chrome	10	1	12	485.18
2016-05-31 20	4	1	1	IE	1	0	0	0.00
2016-05-31 18	3	1	2	Safari	2	0	0	0.00
2016-06-01 00	2	1	2	IE	1	0	0	0.00
2016-05-31 20	3	2	-1	UNK	1	0	0	0.00
2016-05-31 23	2	1	2	IE	5	2	23	945.52
2016-06-01 00	4	2	-1	IE	1	0	0	0.00
2016-05-31 21	3	1	2	Chrome	10	0	0	0.00
2016-05-31 20	3	2	-1	FireFox	1	0	0	0.00
2016-05-31 20	2	1	2	Chrome	4	1	11	633.90
2016-05-31 22	3	2	-1	Safari	2	0	0	0.00
2016-05-31 23	3	1	3	IE	6	0	0	0.00
2016-05-31 19	2	2	-1	FireFox	1	0	0	0.00
2016-05-31 18	3	1	1	Safari	7	0	0	0.00
2016-05-31 20	4	1	2	Chrome	1	0	0	0.00
2016-05-31 22	3	1	1	FireFox	3	0	0	0.00
2016-05-31 19	3	2	-1	Chrome	13	1	6	260.66
2016-05-31 20	2	1	1	Chrome	2	0	0	0.00
2016-05-31 21	3	1	3	IE	4	1	2	101.35
2016-05-31 18	2	2	-1	IE	4	0	0	0.00
2016-05-31 19	4	1	3	Chrome	1	0	0	0.00
2016-05-31 23	2	2	-1	Chrome	2	0	0	0.00
2016-05-31 20	3	1	3	FireFox	2	0	0	0.00
2016-05-31 23	2	1	3	Chrome	1	0	0	0.00
2016-05-31 17	3	1	1	IE	1	0	0	0.00
2016-05-31 20	3	1	1	FireFox	4	0	0	0.00
2016-05-31 18	2	1	1	Safari	1	0	0	0.00
2016-05-31 20	4	1	3	Chrome	1	0	0	0.00
2016-05-31 23	4	1	1	IE	1	0	0	0.00
2016-05-31 19	2	2	-1	Chrome	2	0	0	0.00
2016-05-31 21	4	1	1	Chrome	1	0	0	0.00
2016-05-31 18	3	1	1	IE	17	1	2	109.18
2016-05-31 21	3	1	1	FireFox	2	0	0	0.00
